MATERIAL;;Etiquetas de fila;NOMBRE PRODUCTO;  PRECIO  ; TOTAL BOLSAS/CAJAS;TOTAL STAND BODEGA;TOTAL EXHIBICIÓN;TOTAL CARRITO;FALTA FACTU FEEAN;VENTA INTERNA FALTA SALIDA;VITRINAS EXTERIOR;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA;VALOR INVENTARIO;DESCONTAR;INGRESAR;Observación
116000000000000310;0310;CHAQUETAS;CHAQUETA COMBINADA TURQUESA HOMBRE L; 150.000 ;;5;;;;;;5;5;0;$ 750.000;;;OK
116000000000000309;0309;CHAQUETAS;CHAQUETA COMBINADA TURQUESA HOMBRE XL; 150.000 ;;1;;;;;;1;1;0;$ 150.000;;;OK
116000000000000382;0382;CHAQUETAS;CHAQUETA COMBINADA TURQUESA HOMBRE XXL; 150.000 ;;5;;;;;;5;5;0;$ 750.000;;;OK
116000000000000318;0318;CHAQUETAS;CHAQUETA COMBINADA TURQUESA MUJER XS; 150.000 ;;;;;;;;0;1;1;$ 0;$ 150.000;;No se les pudo dar salida del inventario
116000000000000317;0317;CHAQUETAS;CHAQUETA COMBINADA TURQUESA MUJER S; 150.000 ;;1;2;;;;0;3;3;0;$ 450.000;;;OK
116000000000000316;0316;CHAQUETAS;CHAQUETA COMBINADA TURQUESA MUJER M; 150.000 ;;4;;;;;;4;4;0;$ 600.000;;;OK
116000000000000315;0315;CHAQUETAS;CHAQUETA COMBINADA TURQUESA MUJER L; 150.000 ;;2;;;;;1;3;3;0;$ 450.000;;;OK
116000000000000314;0314;CHAQUETAS;CHAQUETA COMBINADA TURQUESA MUJER XL; 150.000 ;;3;;;;;;3;3;0;$ 450.000;;;OK
116000000000000381;0381;CHAQUETAS;CHAQUETA COMBINADA TURQUESA MUJER XXL; 150.000 ;;3;;;;;;3;3;0;$ 450.000;;;OK
116000000000000323;0323;CHAQUETAS;CHAQUETA COMBINADA VERDE HOMBRE XS; 150.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000322;0322;CHAQUETAS;CHAQUETA COMBINADA VERDE HOMBRE S; 150.000 ;;4;;;;;;4;4;0;$ 600.000;;;OK
116000000000000321;0321;CHAQUETAS;CHAQUETA COMBINADA VERDE HOMBRE M; 150.000 ;;;;;;;;0;1;1;$ 0;$ 150.000;;No se les pudo dar salida del inventario
116000000000000320;0320;CHAQUETAS;CHAQUETA COMBINADA VERDE HOMBRE L; 150.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000319;0319;CHAQUETAS;CHAQUETA COMBINADA VERDE HOMBRE XL; 150.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000383;0383;CHAQUETAS;CHAQUETA COMBINADA VERDE HOMBRE XXL; 150.000 ;;4;;;;;;4;4;0;$ 600.000;;;OK
116000000000000328;0328;CHAQUETAS;CHAQUETA COMBINADA VERDE MUJER XS; 150.000 ;;1;;;;;;1;1;0;$ 150.000;;;OK
116000000000000327;0327;CHAQUETAS;CHAQUETA COMBINADA VERDE MUJER S; 150.000 ;;1;;;;;;1;1;0;$ 150.000;;;OK
116000000000000326;0326;CHAQUETAS;CHAQUETA COMBINADA VERDE MUJER M; 150.000 ;;;;;;;;0;0;0;$ 0;;;OK
116000000000000325;0325;CHAQUETAS;CHAQUETA COMBINADA VERDE MUJER L; 150.000 ;;1;;;;;;1;1;0;$ 150.000;;;OK
116000000000000324;0324;CHAQUETAS;CHAQUETA COMBINADA VERDE MUJER XL; 150.000 ;;2;;;;;;2;2;0;$ 300.000;;;OK
116000000000000219;0219;CHAQUETAS;CHAQUETA BEISBOLERA GRIS NEGRA HOMBRE XS; 169.900 ;0;10;1;0;0;0;0;11;11;0;$ 1.868.900;;;OK
116000000000000220;0220;CHAQUETAS;CHAQUETA BEISBOLERA GRIS NEGRA HOMBRE S; 169.900 ;0;4;0;0;0;0;0;4;4;0;$ 679.600;;;OK
116000000000000221;0221;CHAQUETAS;CHAQUETA BEISBOLERA GRIS NEGRA HOMBRE M; 169.900 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000222;0222;CHAQUETAS;CHAQUETA BEISBOLERA GRIS NEGRA HOMBRE L; 169.900 ;0;0;0;0;0;0;0;0;0;0;$ 0;;;OK
116000000000000223;0223;CHAQUETAS;CHAQUETA BEISBOLERA GRIS NEGRA HOMBRE XL; 169.900 ;0;3;0;0;0;0;0;3;3;0;$ 509.700;;;OK
116000000000000214;0214;CHAQUETAS;CHAQUETA BEISBOLERA NEGRA MARFIL MUJERXS; 169.900 ;0;9;1;0;0;0;0;10;10;0;$ 1.699.000;;;OK
116000000000000215;0215;CHAQUETAS;CHAQUETA BEISBOLERA NEGRA MARFIL MUJER S; 169.900 ;0;0;0;0;0;0;0;0;1;1;$ 0;$ 169.900;;No se les pudo dar salida del inventario
116000000000000217;0217;CHAQUETAS;CHAQUETA BEISBOLERA NEGRA MARFIL MUJER L; 169.900 ;0;3;0;0;0;0;0;3;3;0;$ 509.700;;;OK
116000000000000216;0216;CHAQUETAS;CHAQUETA BEISBOLERA NEGRA MARFIL MUJER M; 169.900 ;0;1;0;0;0;0;0;1;1;0;$ 169.900;;;OK
116000000000000218;0218;CHAQUETAS;CHAQUETA BEISBOLERA NEGRA MARFIL MUJERXL; 169.900 ;0;4;0;0;0;0;0;4;4;0;$ 679.600;;;OK
116000000000000487;0487;CHAQUETAS;CHAQUETA ROMPEVIENTOS AMARILA XS; 157.000 ;0;2;1;0;0;0;0;3;3;0;$ 471.000;;;OK
116000000000000488;0488;CHAQUETAS;CHAQUETA ROMPEVIENTOS AMARILA S; 157.000 ;0;5;0;0;0;0;0;5;5;0;$ 785.000;;;OK
116000000000000489;0489;CHAQUETAS;CHAQUETA ROMPEVIENTOS AMARILA M; 157.000 ;0;0;0;0;0;0;0;0;3;3;$ 0;$ 471.000;;Sobra esa und en la CHAQUETA ROMPEVIENTOS TURQUESA XXL y FALTAN 2
