MATERIAL;NOMBRE PRODUCTO;INVENTARIO FISICO;INVENTARIO SAP;DIFERENCIA
116000000000000141;CAMISETA TRES CUARTOS AMARILLA HOMBRE L;7;7;0
116000000000000142;CAMISETA TRES CUARTOS AMARILLA HOMBRE XL;5;5;0
116000000000000127;CAMISETA TRES CUARTOS GRIS HOMBRE S;0;0;0
116000000000000128;CAMISETA TRES CUARTOS GRIS HOMBRE M;4;4;0
116000000000000129;CAMISETA TRES CUARTOS GRIS HOMBRE L;5;5;0
116000000000000130;CAMISETA TRES CUARTOS GRIS HOMBRE XL;1;1;0
116000000000000143;CAMISETA TRES CUARTOS MORADO HOMBRE S;7;7;0
116000000000000144;CAMISETA TRES CUARTOS MORADO HOMBRE M;8;8;0
116000000000000145;CAMISETA TRES CUARTOS MORADO HOMBRE L;3;3;0
116000000000000146;CAMISETA TRES CUARTOS MORADO HOMBRE XL;0;0;0
116000000000000131;CAMISETA TRES CUARTOS TURQUESA HOMBRE S;0;0;0
116000000000000132;CAMISETA TRES CUARTOS TURQUESA HOMBRE M;3;3;0
116000000000000133;CAMISETA TRES CUARTOS TURQUESA HOMBRE L;8;8;0
116000000000000134;CAMISETA TRES CUARTOS TURQUESA HOMBRE XL;3;3;0
116000000000000135;CAMISETA TRES CUARTOS VERDE HOMBRE S;0;0;0
116000000000000136;CAMISETA TRES CUARTOS VERDE HOMBRE M;0;0;0
116000000000000137;CAMISETA TRES CUARTOS VERDE HOMBRE L;8;8;0
116000000000000138;CAMISETA TRES CUARTOS VERDE HOMBRE XL;4;4;0
116000000000000167;CAMISETA TRES CUARTOS AMARILLA MUJER XS;6;6;0
116000000000000168;CAMISETA TRES CUARTOS AMARILLA MUJER S;2;2;0
116000000000000169;CAMISETA TRES CUARTOS AMARILLA MUJER M;0;0;0
116000000000000170;CAMISETA TRES CUARTOS AMARILLA MUJER L;5;5;0
116000000000000171;CAMISETA TRES CUARTOS AMARILLA MUJER XL;2;2;0
116000000000000147;CAMISETA TRES CUARTOS GRIS MUJER XS;5;5;0
116000000000000148;CAMISETA TRES CUARTOS GRIS MUJER S;2;2;0
116000000000000149;CAMISETA TRES CUARTOS GRIS MUJER M;3;3;0
116000000000000150;CAMISETA TRES CUARTOS GRIS MUJER L;4;4;0
116000000000000151;CAMISETA TRES CUARTOS GRIS MUJER XL;0;0;0
116000000000000162;CAMISETA TRES CUARTOS MORADO MUJER XS;1;1;0
116000000000000163;CAMISETA TRES CUARTOS MORADO MUJER S;0;0;0
116000000000000164;CAMISETA TRES CUARTOS MORADO MUJER M;2;2;0
116000000000000165;CAMISETA TRES CUARTOS MORADO MUJER L;4;4;0
116000000000000166;CAMISETA TRES CUARTOS MORADO MUJER XL;2;2;0
116000000000000152;CAMISETA TRES CUARTOS TURQUESA MUJER XS;0;1;1
116000000000000153;CAMISETA TRES CUARTOS TURQUESA MUJER S;5;5;0
116000000000000154;CAMISETA TRES CUARTOS TURQUESA MUJER M;0;0;0
116000000000000155;CAMISETA TRES CUARTOS TURQUESA MUJER L;2;1;-1
116000000000000156;CAMISETA TRES CUARTOS TURQUESA MUJER XL;3;2;-1
116000000000000157;CAMISETA TRES CUARTOS VERDE MUJER XS;0;0;0
116000000000000158;CAMISETA TRES CUARTOS VERDE MUJER S;1;1;0
116000000000000159;CAMISETA TRES CUARTOS VERDE MUJER M;0;0;0
116000000000000160;CAMISETA TRES CUARTOS VERDE MUJER L;4;4;0
116000000000000161;CAMISETA TRES CUARTOS VERDE MUJER XL;2;2;0
116000000000000293;CHAQUETA BOMPER GRIS / BLANCA HOMBRE XS;0;0;0
116000000000000292;CHAQUETA BOMPER GRIS / BLANCA HOMBRE S;0;0;0
116000000000000291;CHAQUETA BOMPER GRIS / BLANCA HOMBRE M;0;0;0
116000000000000290;CHAQUETA BOMPER GRIS / BLANCA HOMBRE L;0;0;0
116000000000000289;CHAQUETA BOMPER GRIS / BLANCA HOMBRE XL;0;0;0
116000000000000298;CHAQUETA BOMPER GRIS / BLANCA MUJER XS;0;0;0
116000000000000297;CHAQUETA BOMPER GRIS / BLANCA MUJER S;0;0;0
116000000000000296;CHAQUETA BOMPER GRIS / BLANCA MUJER M;0;0;0
116000000000000295;CHAQUETA BOMPER GRIS / BLANCA MUJER L;0;1;1
116000000000000294;CHAQUETA BOMPER GRIS / BLANCA MUJER XL;0;0;0
116000000000000303;CHAQUETA BOMPER GRIS / NEGRA HOMBRE XS;0;0;0
116000000000000302;CHAQUETA BOMPER GRIS / NEGRA HOMBRE S;2;2;0
116000000000000301;CHAQUETA BOMPER GRIS / NEGRA HOMBRE M;0;0;0
116000000000000300;CHAQUETA BOMPER GRIS / NEGRA HOMBRE L;0;0;0
116000000000000299;CHAQUETA BOMPER GRIS / NEGRA HOMBRE XL;0;0;0
